				Velocity Center-point Mean mm/s	Cruising Frequency	Cruising Cumulative Duration s	Bursting Frequency	Bursting Cumulative Duration s	Freezing  Frequency	Freezing  Cumulative Duration s	Turn angle Center-point / relative Mean deg	Meander Center-point / relative Mean deg/mm	Angular velocity Center-point / relative Mean deg/s	Distance moved Center-point Total mm
Control	Trial     2	C5	0:11:00-0:12:00	6.43426	187	23.64	0	0	188	36.28	1.13402	1.51553	28.3506	385.541
Control	Trial     2	C5	0:12:00-0:13:00	0.763305	2	0.16	0	0	3	59.84	3.43847	137.848	85.9618	45.7983
Control	Trial     2	C5	0:13:00-0:14:00	0.925435	18	0.96	0	0	18	59.04	7.1791	149.983	179.478	55.5261
Control	Trial     2	C5	0:14:00-0:15:00	5.26143	115	17.84	0	0	116	42.08	2.40187	-102.164	60.0466	315.265
Control	Trial     2	C5	0:15:00-0:16:00	0.867539	3	0.24	0	0	4	59.76	-4.2003	-124.524	-105.008	52.0523
Control	Trial     2	C5	0:16:00-0:17:00	2.03399	40	5.48	0	0	41	54.44	0.877217	320.368	21.9304	121.877
Control	Trial     2	C5	0:17:00-0:18:00	0.841658	11	0.68	0	0	11	59.32	-6.2366	-482.484	-155.915	50.4995
Control	Trial     2	C5	0:18:00-0:19:00	2.30258	64	6.2	0	0	65	53.8	5.1351	146.78	128.378	138.155
Control	Trial     2	C5	0:19:00-0:20:00	2.83	32	6.72	0	0	33	53.2	2.47422	-130.614	61.8555	169.574
Control	Trial     2	C5	0:20:00-0:21:00	1.23318	23	1.64	0	0	24	58.36	3.88185	573.918	97.0462	73.9909
Control	Trial     2	C5	0:21:00-0:22:00	0.879924	4	0.28	0	0	5	59.72	-3.82791	167.73	-95.6978	52.7955
Control	Trial     2	C5	0:22:00-0:23:00	1.49037	14	2	0	0	16	57.92	6.79833	659.395	169.958	89.3032
Control	Trial     2	C5	0:23:00-0:24:00	1.94056	52	5	0	0	53	55	-1.82341	242.75	-45.5852	116.434
Control	Trial     2	C5	0:24:00-0:25:00	1.35511	44	2.92	0	0	46	57	-2.39852	-581.205	-59.9629	81.1979
Control	Trial     2	C5	0:25:00-0:26:00	1.2122	21	1.56	0	0	22	58.44	0.378762	-541.515	9.46904	72.7321
Control	Trial     2	C5	0:26:00-0:27:00	1.72594	61	4.32	0	0	62	55.68	7.52596	-25.3454	188.149	103.556
Control	Trial     2	C5	0:27:00-0:28:00	1.29336	31	2.28	0	0	33	57.64	0.600275	0.80479	15.0069	77.4983
Control	Trial     2	C5	0:28:00-0:29:00	1.29945	26	2.08	0	0	27	57.92	3.11532	431.333	77.883	77.9667
Control	Trial     2	C5	0:29:00-0:30:00	1.03088	13	0.72	0	0	14	59.28	3.34501	-1116	83.6251	61.8528
Control	Trial     2	C5	0:30:00-0:31:00	2.74776	59	6.88	0	0	61	53.04	-2.07101	-282.107	-51.7753	164.646
Control	Trial     2	C5	0:31:00-0:32:00	3.61571	121	11.64	0	0	122	48.36	5.17633	-305.069	129.408	216.943
Control	Trial     2	C5	0:32:00-0:33:00	0.804579	0	0	0	0	2	59.92	-0.763112	-375.367	-19.0778	48.2104
Control	Trial     2	C5	0:33:00-0:34:00	2.7716	73	6.92	0	0	74	53.08	-4.19847	-450.261	-104.962	166.296
Control	Trial     2	C5	0:34:00-0:35:00	2.14108	38	4.52	0	0	38	55.48	-0.773587	-579.515	-19.3397	128.465
Control	Trial     2	C5	0:35:00-0:36:00	1.84191	20	3.52	0	0	21	56.4	-0.321271	-76.3042	-8.03178	110.367
Control	Trial     2	C5	0:36:00-0:37:00	2.39831	32	4.96	0	0	33	55.04	1.87609	92.9346	46.9023	143.898
Control	Trial     2	C5	0:37:00-0:38:00	1.78971	39	4	0	0	40	56	-6.31897	-102.652	-157.974	107.382
Control	Trial     2	C5	0:38:00-0:39:00	2.08228	29	4.2	0	0	31	55.72	2.01787	-66.0925	50.4467	124.77
Control	Trial     2	C5	0:39:00-0:40:00	1.47324	49	3.44	0	0	50	56.56	6.57318	1240.63	164.329	88.3942
Control	Trial     2	C5	0:40:00-0:41:00	1.08561	16	1.44	0	0	18	58.48	4.00316	198.925	100.079	65.0497
Control	Trial     2	C5	0:41:00-0:42:00	0.863435	0	0	0	0	1	60	-0.464679	-780.678	-11.617	51.8061
Control	Trial     2	C5	0:42:00-0:43:00	1.77177	25	3.52	0	0	26	56.48	-1.7637	-132.445	-44.0924	106.306
Control	Trial     2	C5	0:43:00-0:44:00	1.61804	53	4.28	0	0	55	55.64	-4.81616	449.569	-120.404	96.9529
Control	Trial     2	C5	0:44:00-0:45:00	1.51412	58	3.48	0	0	59	56.52	-1.17456	-260.447	-29.3639	90.8471
Control	Trial     2	C5	0:45:00-0:46:00	1.62372	57	3.8	0	0	58	56.2	1.37095	119.706	34.2737	97.4233
Control	Trial     2	C5	0:46:00-0:47:00	1.47378	48	2.92	0	0	50	57	0.413702	15.6885	10.3426	88.3086
Control	Trial     2	C5	0:47:00-0:48:00	1.37617	43	2.6	0	0	44	57.4	-7.26643	-565.279	-181.661	82.57
Control	Trial     2	C5	0:48:00-0:49:00	1.26083	41	2.44	0	0	42	57.48	5.39175	-37.0009	134.794	75.5487
Control	Trial     2	C5	0:49:00-0:50:00	1.20525	29	2	0	0	29	58	0.724954	192.885	18.1238	72.315
Control	Trial     2	D6	0:00:00-0:01:00	1.95085	89	5.92	0	0	91	53.84	3.57298	387.701	89.3244	116.583
Control	Trial     2	D6	0:01:00-0:02:00	1.63458	56	3.32	0	0	57	56.68	-3.55914	6.00377	-88.9784	98.0749
Control	Trial     2	D6	0:02:00-0:03:00	1.65528	56	3.96	0	0	57	56.04	-0.262463	112.13	-6.56156	99.3167
Control	Trial     2	D6	0:03:00-0:04:00	1.59934	61	3.96	0	0	63	55.96	-8.71793	-381.234	-217.948	95.8322
Control	Trial     2	D6	0:04:00-0:05:00	1.5075	62	3.76	0	0	63	56.24	-4.06366	0.844858	-101.592	90.4501
Control	Trial     2	D6	0:05:00-0:06:00	1.81055	65	4.56	0	0	66	55.44	1.27487	-66.6703	31.8717	108.633
Control	Trial     2	D6	0:06:00-0:07:00	1.64244	67	4.12	0	0	69	55.8	-0.657508	-758.423	-16.4377	98.4152
Control	Trial     2	D6	0:07:00-0:08:00	1.74626	67	4.6	0	0	67	55.4	2.47539	6.63969	61.8848	104.776
Control	Trial     2	D6	0:08:00-0:09:00	2.01612	84	5.96	0	0	84	53.96	-3.92686	-414.158	-98.1716	120.806
Control	Trial     2	D6	0:09:00-0:10:00	2.07874	84	5.72	0	0	85	54.28	-0.60829	94.7988	-15.2072	124.724
Control	Trial     2	D6	0:10:00-0:11:00	4.91176	53	8.32	0	0	54	51.68	-3.77074	81.5838	-94.2684	294.706
Control	Trial     2	D6	0:11:00-0:12:00	1.91765	51	4.4	0	0	53	55.52	-1.93157	50.8556	-48.2893	114.906
Control	Trial     2	D6	0:12:00-0:13:00	2.50956	108	7	0	0	109	53	-0.548351	129.222	-13.7088	150.573
Control	Trial     2	D6	0:13:00-0:14:00	3.91065	135	11.92	0	0	136	48.08	-1.22648	91.6925	-30.6619	234.639
Control	Trial     2	D6	0:14:00-0:15:00	5.67822	135	16.6	0	0	136	43.32	1.41634	148.305	35.4085	340.239
Control	Trial     2	D6	0:15:00-0:16:00	3.81671	88	9.92	0	0	88	50.08	1.34718	-71.3248	33.6794	229.002
Control	Trial     2	D6	0:16:00-0:17:00	1.698	55	4.44	0	0	57	55.48	-3.95134	144.384	-98.7834	101.744
Control	Trial     2	D6	0:17:00-0:18:00	2.81405	131	10.04	0	0	132	49.96	1.75646	927.888	43.9116	168.843
Control	Trial     2	D6	0:18:00-0:19:00	2.72701	116	9.84	0	0	116	50.16	0.888015	135.93	22.2004	163.62
Control	Trial     2	D6	0:19:00-0:20:00	3.22146	154	11.92	0	0	156	48	1.95787	-48.8043	48.9467	193.03
Control	Trial     2	D6	0:20:00-0:21:00	4.81897	103	12.8	0	0	103	47.2	0.544513	234.064	13.6128	289.138
Control	Trial     2	D6	0:21:00-0:22:00	3.76557	42	8.12	0	0	42	51.88	3.66262	32.0208	91.5655	225.934
Control	Trial     2	D6	0:22:00-0:23:00	1.44819	25	1.24	0	0	27	58.68	5.41413	138.329	135.353	86.7757
Control	Trial     2	D6	0:23:00-0:24:00	0.884858	6	0.24	0	0	6	59.76	2.84025	20.1035	71.0063	53.0915
Control	Trial     2	D6	0:24:00-0:25:00	0.834453	5	0.28	0	0	7	59.64	0.808947	622.316	20.2237	50.0004
Control	Trial     2	D6	0:25:00-0:26:00	1.2476	50	2.68	0	0	50	57.32	-1.09913	-555.293	-27.4782	74.856
Control	Trial     2	D6	0:26:00-0:27:00	1.87442	85	5.12	0	0	85	54.88	-1.69506	138.182	-42.3766	112.465
Control	Trial     2	D6	0:27:00-0:28:00	2.20632	96	7.04	0	0	98	52.88	-4.74373	-208.829	-118.593	132.203
Control	Trial     2	D6	0:28:00-0:29:00	2.37743	124	7.92	0	0	125	52.08	1.68736	-6.79101	42.184	142.646
Control	Trial     2	D6	0:29:00-0:30:00	1.85571	83	5.16	0	0	84	54.84	-4.94826	-297.185	-123.706	111.343
Control	Trial     2	D6	0:30:00-0:31:00	3.00255	47	6.24	0	0	49	53.68	-10.8474	-633.8	-271.184	179.913
Control	Trial     2	D6	0:31:00-0:32:00	1.96395	81	5.4	0	0	82	54.6	1.78352	-545.592	44.588	117.837
Control	Trial     2	D6	0:32:00-0:33:00	2.94634	117	9.92	0	0	119	50	0.825415	-151.195	20.6354	176.545
Control	Trial     2	D6	0:33:00-0:34:00	4.35567	154	15.48	0	0	155	44.52	-1.69448	59.1735	-42.3619	261.34
Control	Trial     2	D6	0:34:00-0:35:00	4.05579	150	14.76	0	0	151	45.24	-0.0610727	-39.1657	-1.52682	243.347
Control	Trial     2	D6	0:35:00-0:36:00	4.51567	183	17.16	0	0	185	42.76	-0.995244	-148.824	-24.8811	270.579
Control	Trial     2	D6	0:36:00-0:37:00	4.5528	162	16.64	0	0	163	43.36	0.824701	-30.3397	20.6175	273.168
Control	Trial     2	D6	0:37:00-0:38:00	4.17063	183	15.24	0	0	184	44.76	-1.33097	-138.23	-33.2743	250.238
Control	Trial     2	D6	0:38:00-0:39:00	4.12327	166	14.64	0	0	165	45.28	-0.0784276	1.58261	-1.96069	247.066
Control	Trial     2	D6	0:39:00-0:40:00	7.64633	179	23.52	0	0	179	36.48	2.29362	12.3834	57.3404	458.78
Control	Trial     2	D6	0:40:00-0:41:00	4.85257	53	9.88	0	0	54	50.04	0.717957	-146.633	17.9489	290.766
Control	Trial     2	D6	0:41:00-0:42:00	1.19468	2	0.08	0	0	3	59.92	-4.2388	152.319	-105.97	71.6806
Control	Trial     2	D6	0:42:00-0:43:00	0.979127	0	0	0	0	1	60	-2.92944	107.433	-73.2359	58.7476
Control	Trial     2	D6	0:43:00-0:44:00	0.918614	0	0	0	0	2	59.92	-0.17684	55.3077	-4.421	55.0434
Control	Trial     2	D6	0:44:00-0:45:00	0.865903	2	0.16	0	0	3	59.84	-1.20284	-37.7982	-30.0711	51.9542
Control	Trial     2	D6	0:45:00-0:46:00	1.16052	14	0.88	0	0	15	59.12	-0.135123	-388.583	-3.37809	69.6312
Control	Trial     2	D6	0:46:00-0:47:00	0.975497	0	0	0	0	2	59.92	9.06048	358.885	226.512	58.4518
Control	Trial     2	D6	0:47:00-0:48:00	0.841963	5	0.28	0	0	6	59.72	-1.94519	-558.262	-48.6298	50.5178
Control	Trial     2	D6	0:48:00-0:49:00	1.20002	31	2.28	0	0	33	57.64	7.76145	154.372	194.036	71.9054
Control	Trial     2	D6	0:49:00-0:50:00	1.48933	6	0.6	0	0	7	59.4	-1.19603	45.0889	-29.9008	89.3601
Control	Trial     4	A2	0:00:00-0:01:00	1.029	0	0	0	0	2	59.76	3.31609	-8.95322	82.9023	61.493
Control	Trial     4	A2	0:01:00-0:02:00	1.06729	0	0	0	0	1	60	-2.50898	-106.588	-62.7244	64.0374
Control	Trial     4	A2	0:02:00-0:03:00	1.08067	0	0	0	0	1	60	2.32792	162.598	58.198	64.8403
Control	Trial     4	A2	0:03:00-0:04:00	1.08756	0	0	0	0	2	59.92	-1.47005	809.345	-36.7513	65.1664
Control	Trial     4	A2	0:04:00-0:05:00	1.08175	0	0	0	0	1	60	-1.60326	-171.94	-40.0815	64.9048
Control	Trial     4	A2	0:05:00-0:06:00	1.63728	48	2.52	0	0	49	57.48	-0.0843994	251.956	-2.10998	98.2367
Control	Trial     4	A2	0:06:00-0:07:00	1.43823	42	2.24	0	0	44	57.68	-0.631097	-159.777	-15.7774	86.1789
Control	Trial     4	A2	0:07:00-0:08:00	1.65426	60	2.84	0	0	61	57.16	0.539208	226.314	13.4802	99.2558
Control	Trial     4	A2	0:08:00-0:09:00	1.75814	59	3.92	0	0	60	56	2.75226	-5.57864	68.8065	105.348
Control	Trial     4	A2	0:09:00-0:10:00	1.79106	73	4.52	0	0	74	55.48	3.20891	161.11	80.2227	107.464
Control	Trial     4	A2	0:10:00-0:11:00	4.66258	121	12.52	0	0	121	47.48	0.861485	18.432	21.5371	279.755
Control	Trial     4	A2	0:11:00-0:12:00	2.69287	57	5.36	0	0	58	54.56	-1.84521	-25.8372	-46.1303	161.357
Control	Trial     4	A2	0:12:00-0:13:00	1.63723	52	2.44	0	0	53	57.56	-4.73349	-231.133	-118.337	98.2337
Control	Trial     4	A2	0:13:00-0:14:00	2.37516	99	6.92	0	0	100	53.08	0.372942	207.177	9.32354	142.51
Control	Trial     4	A2	0:14:00-0:15:00	3.60191	164	11.44	0	0	166	48.48	1.46588	123.022	36.647	215.826
Control	Trial     4	A2	0:15:00-0:16:00	4.91137	180	16.84	0	0	181	43.16	-2.02248	-489.165	-50.562	294.682
Control	Trial     4	A2	0:16:00-0:17:00	3.5083	137	10.8	0	0	138	49.12	1.34931	42.3453	33.7329	210.218
Control	Trial     4	A2	0:17:00-0:18:00	1.9267	79	4.76	0	0	80	55.24	3.07268	-110.287	76.817	115.602
Control	Trial     4	A2	0:18:00-0:19:00	2.09975	90	5.96	0	0	90	54.04	1.07869	-226.252	26.9673	125.985
Control	Trial     4	A2	0:19:00-0:20:00	2.09048	99	5.8	0	0	101	54.12	4.66499	156.903	116.625	125.262
Control	Trial     4	A2	0:20:00-0:21:00	1.64846	50	3	0	0	51	57	-0.22231	117.369	-5.55776	98.9077
Control	Trial     4	A2	0:21:00-0:22:00	1.28838	20	1.28	0	0	21	58.72	-1.94932	-622.101	-48.7329	77.3031
Control	Trial     4	A2	0:22:00-0:23:00	1.41647	29	2.04	0	0	31	57.88	-2.82597	-549.843	-70.6491	84.8746
Control	Trial     4	A2	0:23:00-0:24:00	1.6091	47	3.2	0	0	48	56.8	5.00555	210.933	125.139	96.5459
Control	Trial     4	A2	0:24:00-0:25:00	2.03284	73	5.4	0	0	75	54.52	-3.59422	-72.4019	-89.8554	121.808
Control	Trial     4	A2	0:25:00-0:26:00	1.87976	69	4.76	0	0	70	55.24	-1.90515	-277.635	-47.6288	112.785
Control	Trial     4	A2	0:26:00-0:27:00	1.68345	60	3.64	0	0	60	56.36	-3.1756	298.378	-79.39	101.007
Control	Trial     4	A2	0:27:00-0:28:00	1.50997	50	3.16	0	0	51	56.76	2.45655	-51.3412	61.4138	90.4776
Control	Trial     4	A2	0:28:00-0:29:00	1.2738	32	1.56	0	0	33	58.44	0.0360448	-134.567	0.90112	76.4278
Control	Trial     4	A2	0:29:00-0:30:00	1.41888	48	2.8	0	0	49	57.2	-3.13965	243.424	-78.4912	85.1326
Control	Trial     4	A2	0:30:00-0:31:00	3.58154	104	9.8	0	0	105	50.12	2.26883	167.179	56.7208	214.606
Control	Trial     4	A2	0:31:00-0:32:00	2.8814	125	8.72	0	0	126	51.28	0.9933	-215.239	24.8325	172.884
Control	Trial     4	A2	0:32:00-0:33:00	3.55632	146	11.2	0	0	146	48.72	-0.813183	117.854	-20.3296	213.094
Control	Trial     4	A2	0:33:00-0:34:00	4.28698	150	13.32	0	0	151	46.68	0.621662	-179.227	15.5416	257.219
Control	Trial     4	A2	0:34:00-0:35:00	4.55952	158	15.12	0	0	158	44.88	0.79534	128	19.8835	273.571
Control	Trial     4	A2	0:35:00-0:36:00	5.52229	199	18.64	0	0	201	41.28	3.41448	170.637	85.3621	330.895
Control	Trial     4	A2	0:36:00-0:37:00	4.33229	150	13.56	0	0	149	46.44	0.033027	34.8949	0.825676	259.938
Control	Trial     4	A2	0:37:00-0:38:00	5.63428	162	18.12	0	0	162	41.88	-0.429437	107.548	-10.7359	338.057
Control	Trial     4	A2	0:38:00-0:39:00	4.88158	165	15.72	0	0	166	44.2	1.14186	-109.117	28.5465	292.504
Control	Trial     4	A2	0:39:00-0:40:00	5.57656	159	18	0	0	160	42	1.47642	70.1427	36.9105	334.593
Control	Trial     4	A2	0:40:00-0:41:00	2.47074	79	5.92	0	0	80	54	1.29317	192.757	32.3291	148.047
Control	Trial     4	A2	0:41:00-0:42:00	3.26856	114	10.72	0	0	114	49.28	-2.05302	-181.567	-51.3255	196.114
Control	Trial     4	A2	0:42:00-0:43:00	4.47957	128	13.84	0	0	129	46.16	-4.05777	-112.576	-101.444	268.774
Control	Trial     4	A2	0:43:00-0:44:00	3.95337	160	12.6	0	0	161	47.32	-0.279371	-48.1587	-6.98426	236.886
Control	Trial     4	A2	0:44:00-0:45:00	4.4776	151	14.28	0	0	152	45.72	1.46567	-54.2763	36.6417	268.656
Control	Trial     4	A2	0:45:00-0:46:00	5.03914	141	15.68	0	0	141	44.32	0.72603	15.3809	18.1507	302.349
Control	Trial     4	A2	0:46:00-0:47:00	5.59954	135	17.32	0	0	134	42.6	0.823318	64.402	20.583	335.524
Control	Trial     4	A2	0:47:00-0:48:00	5.89516	130	17.96	0	0	131	42.04	1.5139	428.146	37.8475	353.71
Control	Trial     4	A2	0:48:00-0:49:00	4.62624	147	15.6	0	0	149	44.32	0.44225	-43.46	11.0562	277.204
Control	Trial     4	A2	0:49:00-0:50:00	5.56843	138	17.88	0	0	139	42.12	4.15211	99.3242	103.803	334.106
Control	Trial     4	A3	0:00:00-0:01:00	1.45106	33	2.2	0	0	35	57.56	0.108039	-61.2825	2.70097	86.715
Control	Trial     4	A3	0:01:00-0:02:00	1.03093	17	1	0	0	18	59	2.21363	12.2411	55.3407	61.856
Control	Trial     4	A3	0:02:00-0:03:00	1.86377	50	4.32	0	0	51	55.68	-2.60603	-495.865	-65.1506	111.826
Control	Trial     4	A3	0:03:00-0:04:00	1.8014	66	5.04	0	0	68	54.88	3.57726	-172.126	89.4315	107.94
Control	Trial     4	A3	0:04:00-0:05:00	1.43281	36	2.84	0	0	37	57.16	0.282472	-462.953	7.06179	85.9683
Control	Trial     4	A3	0:05:00-0:06:00	1.47115	47	3.36	0	0	48	56.64	-2.44602	95.6743	-61.1504	88.2689
Control	Trial     4	A3	0:06:00-0:07:00	0.978126	25	1.28	0	0	27	58.64	-0.844764	309.377	-21.1191	58.6093
Control	Trial     4	A3	0:07:00-0:08:00	0.970319	26	1.72	0	0	27	58.28	0.761182	107.401	19.0295	58.2191
Control	Trial     4	A3	0:08:00-0:09:00	1.13845	37	2.4	0	0	39	57.52	-0.644215	-314.267	-16.1054	68.2158
Control	Trial     4	A3	0:09:00-0:10:00	0.908488	21	1	0	0	22	59	-6.02057	-599.524	-150.514	54.5093
Control	Trial     4	A3	0:10:00-0:11:00	3.28651	127	10.32	0	0	128	49.68	-3.50996	-276.889	-87.749	197.19
Control	Trial     4	A3	0:11:00-0:12:00	3.03483	142	10.08	0	0	143	49.84	-1.53084	-111.611	-38.2711	181.847
Control	Trial     4	A3	0:12:00-0:13:00	3.30941	180	12.12	0	0	181	47.88	-0.0900687	52.2444	-2.25172	198.565
Control	Trial     4	A3	0:13:00-0:14:00	5.58628	213	21.56	0	0	214	38.44	0.247022	-8.93067	6.17555	335.177
Control	Trial     4	A3	0:14:00-0:15:00	6.89044	184	22.92	0	0	184	37	0.227877	-41.3015	5.69693	412.875
Control	Trial     4	A3	0:15:00-0:16:00	6.91535	179	23.96	0	0	179	36.04	-1.38749	75.0523	-34.6873	414.921
Control	Trial     4	A3	0:16:00-0:17:00	7.40763	184	24.24	0	0	183	35.68	-6.58914	-165.216	-164.729	443.865
Control	Trial     4	A3	0:17:00-0:18:00	6.70635	174	22.24	0	0	175	37.76	0.447502	13.4934	11.1875	402.381
Control	Trial     4	A3	0:18:00-0:19:00	6.25829	175	21.2	0	0	176	38.8	-2.0368	-51.2834	-50.9201	375.498
Control	Trial     4	A3	0:19:00-0:20:00	3.87478	178	13.88	0	0	180	46.04	-0.673584	-127.083	-16.8396	232.177
Control	Trial     4	A3	0:20:00-0:21:00	2.63475	82	6.8	0	0	82	53.2	-0.0564681	-204.378	-1.4117	158.085
Control	Trial     4	A3	0:21:00-0:22:00	2.64363	90	7.6	0	0	91	52.4	-2.0849	-69.7501	-52.1225	158.618
Control	Trial     4	A3	0:22:00-0:23:00	1.54754	54	3.72	0	0	56	56.2	-1.00027	-29.2345	-25.0068	92.7284
Control	Trial     4	A3	0:23:00-0:24:00	1.07192	37	2.04	0	0	38	57.96	-3.82576	-424.053	-95.644	64.3153
Control	Trial     4	A3	0:24:00-0:25:00	1.19071	51	2.96	0	0	53	56.96	-6.70377	-222.86	-167.594	71.3476
Control	Trial     4	A3	0:25:00-0:26:00	1.147	47	3.4	0	0	47	56.6	0.000879731	-28.8265	0.0219933	68.8202
Control	Trial     4	A3	0:26:00-0:27:00	0.968987	35	2.28	0	0	35	57.72	-4.03692	-710.351	-100.923	58.1392
Control	Trial     4	A3	0:27:00-0:28:00	1.31779	52	3.72	0	0	54	56.2	-2.96801	-186.522	-74.2002	78.9622
Control	Trial     4	A3	0:28:00-0:29:00	1.11913	43	2.68	0	0	44	57.32	-0.529778	-267.656	-13.2444	67.1477
Control	Trial     4	A3	0:29:00-0:30:00	1.15755	49	2.92	0	0	50	57.08	2.49734	126.756	62.4335	69.4529
Control	Trial     4	A3	0:30:00-0:31:00	2.09927	82	5.64	0	0	84	54.28	-1.24463	-485.245	-31.1158	125.788
Control	Trial     4	A3	0:31:00-0:32:00	2.88481	145	9.88	0	0	146	50.12	-1.53089	67.4106	-38.2722	173.089
Control	Trial     4	A3	0:32:00-0:33:00	4.5172	174	15.96	0	0	173	43.96	-2.2026	-303.444	-55.065	270.671
Control	Trial     4	A3	0:33:00-0:34:00	7.45779	193	24.52	0	0	192	35.48	-3.57188	-111.04	-89.2969	447.467
Control	Trial     4	A3	0:34:00-0:35:00	7.31592	202	24.52	0	0	203	35.48	-2.55895	-115.307	-63.9737	438.955
Control	Trial     4	A3	0:35:00-0:36:00	7.75566	201	24.52	0	0	203	35.4	-4.91603	-36.9922	-122.901	464.719
Control	Trial     4	A3	0:36:00-0:37:00	8.69342	197	26.92	0	0	197	33.08	-2.86448	-126.273	-71.6121	521.605
Control	Trial     4	A3	0:37:00-0:38:00	9.23179	197	28.24	0	0	197	31.76	-2.63273	-93.5199	-65.8182	553.908
Control	Trial     4	A3	0:38:00-0:39:00	9.63746	195	28.36	0	0	195	31.56	-2.78435	-73.7783	-69.6088	577.477
Control	Trial     4	A3	0:39:00-0:40:00	10.0719	186	28.32	0	0	186	31.68	-5.21818	-116.113	-130.455	604.314
Control	Trial     4	A3	0:40:00-0:41:00	4.13444	100	11.88	0	0	101	48.04	-5.38598	-448.625	-134.65	247.736
Control	Trial     4	A3	0:41:00-0:42:00	4.61363	112	13.4	0	0	112	46.6	1.72593	191.44	43.1482	276.818
Control	Trial     4	A3	0:42:00-0:43:00	5.44661	109	16.04	0	0	110	43.96	0.841018	46.2747	21.0255	326.797
Control	Trial     4	A3	0:43:00-0:44:00	7.80032	122	22.52	0	0	124	37.4	-3.01152	-153.248	-75.288	467.395
Control	Trial     4	A3	0:44:00-0:45:00	8.62562	116	22.6	0	0	116	37.4	-1.54746	-149.466	-38.6865	517.537
Control	Trial     4	A3	0:45:00-0:46:00	9.47703	89	22.88	0	0	89	37.12	-4.73087	-153.721	-118.272	568.622
Control	Trial     4	A3	0:46:00-0:47:00	7.78772	88	20.32	0	0	89	39.6	-1.60697	-67.7635	-40.1741	466.64
Control	Trial     4	A3	0:47:00-0:48:00	6.78618	95	17.68	0	0	95	42.32	0.905933	-100.589	22.6483	407.171
Control	Trial     4	A3	0:48:00-0:49:00	7.48326	89	19.12	0	0	89	40.8	-0.87281	-97.0358	-21.8202	448.397
Control	Trial     4	A3	0:49:00-0:50:00	7.95538	98	19.56	0	0	99	40.44	-2.36597	-108.9	-59.1493	477.323
Control	Trial     4	C3	0:00:00-0:01:00	1.05	27	1.16	0	0	29	58.6	4.28281	-260.903	107.07	62.7483
Control	Trial     4	C3	0:01:00-0:02:00	1.83315	92	5.2	0	0	93	54.8	-4.01126	-451.734	-100.281	109.989
Control	Trial     4	C3	0:02:00-0:03:00	2.23237	98	6.4	0	0	99	53.6	-0.239582	-70.4092	-5.98954	133.942
Control	Trial     4	C3	0:03:00-0:04:00	3.17374	118	8.84	0	0	120	51.08	-1.98281	84.276	-49.5704	190.171
Control	Trial     4	C3	0:04:00-0:05:00	2.45746	110	7.24	0	0	110	52.76	1.21963	-126.406	30.4908	147.448
Control	Trial     4	C3	0:05:00-0:06:00	3.53742	133	11.08	0	0	133	48.92	0.00431692	17.6462	0.107923	212.245
Control	Trial     4	C3	0:06:00-0:07:00	2.01392	84	5	0	0	86	54.92	-1.64547	-236.875	-41.1367	120.674
Control	Trial     4	C3	0:07:00-0:08:00	2.18268	95	5.68	0	0	96	54.32	1.37922	-106.716	34.4806	130.961
Control	Trial     4	C3	0:08:00-0:09:00	2.61921	113	7.68	0	0	115	52.24	1.69772	165.074	42.443	156.943
Control	Trial     4	C3	0:09:00-0:10:00	2.44539	103	6.32	0	0	103	53.68	-4.48738	-492.609	-112.184	146.724
Control	Trial     4	C3	0:10:00-0:11:00	4.31707	83	10.72	0	0	84	49.28	-2.00226	-473.467	-50.0565	259.024
Control	Trial     4	C3	0:11:00-0:12:00	5.47473	111	13.16	0	0	112	46.76	-1.79517	-181.984	-44.8794	328.046
Control	Trial     4	C3	0:12:00-0:13:00	0.858397	10	0.52	0	0	11	59.48	7.15507	189.797	178.877	51.5038
Control	Trial     4	C3	0:13:00-0:14:00	0.996729	12	0.68	0	0	13	59.32	-0.536254	-107.844	-13.4064	59.8037
Control	Trial     4	C3	0:14:00-0:15:00	1.18636	33	1.76	0	0	35	58.16	-0.836652	-75.3375	-20.9163	71.0864
Control	Trial     4	C3	0:15:00-0:16:00	0.999554	22	1.08	0	0	23	58.92	9.18322	665.989	229.58	59.9732
Control	Trial     4	C3	0:16:00-0:17:00	1.06455	27	1.36	0	0	29	58.56	-3.94524	-656.676	-98.6311	63.7881
Control	Trial     4	C3	0:17:00-0:18:00	1.20621	34	2	0	0	35	58	6.4012	453.752	160.03	72.3724
Control	Trial     4	C3	0:18:00-0:19:00	1.53797	62	3.72	0	0	63	56.28	-4.5735	-398.474	-114.337	92.2784
Control	Trial     4	C3	0:19:00-0:20:00	3.34276	118	9.12	0	0	119	50.8	2.21364	463.41	55.341	200.298
Control	Trial     4	C3	0:20:00-0:21:00	1.99249	22	2.68	0	0	22	57.32	-0.208554	-129.495	-5.21386	119.55
Control	Trial     4	C3	0:21:00-0:22:00	0.845357	12	0.52	0	0	13	59.48	-0.958563	-369.126	-23.9641	50.7214
Control	Trial     4	C3	0:22:00-0:23:00	1.06696	35	1.6	0	0	37	58.32	-0.284249	-96.0818	-7.10624	63.9325
Control	Trial     4	C3	0:23:00-0:24:00	1.8811	86	4.68	0	0	87	55.32	-0.870257	-37.5848	-21.7564	112.866
Control	Trial     4	C3	0:24:00-0:25:00	1.70197	78	4.28	0	0	80	55.64	0.650928	-26.2784	16.2732	101.982
